,0,1,2,3,4,5,6,7
0,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases
1,,"99,466,474",,"1,466,594",,"94,733,439",,"3,266,441"
2,,"149,679,779","+148,023","1,427,484",+190,"126,982,504","+36,131","21,269,791"
3,,"57,076,865",+174,"1,296,215",,"53,170,992",+193,"2,609,658"
4,,"193,780,651",,"1,828,906",,"181,204,954","+91,851","10,746,791"
5,,"7,836,419","+59,301","11,307",+80,"7,305,575","+7,404","519,537"
6,,"12,024,127",,"254,192",,"11,197,387",,"572,548"
7,,15,,706,,0,0,
8,"519,865,036","+207,498","6,284,713",+270,"474,595,557","+135,579","38,984,766","39,189"
9,USA,"84,066,379",,"1,026,109 ",,"81,163,689",,"1,876,581"
10,India,"43,116,600",,"524,190 ",,"42,573,460",,"18,950"
11,Brazil,"30,639,130",,"664,700 ",,"29,703,904",,"270,526"
12,France,"29,097,570",,"147,159 ",,"28,017,247",,"933,164"
13,Germany,"25,665,910",,"137,628 ",,"23,875,700","+71,100","1,652,582"
14,UK,"22,159,615",,"176,708 ",,"21,637,872",,"345,035"
15,Russia,"18,245,394",,"377,359 ",,"17,626,344",,"241,691"
16,S. Korea,"17,727,086","+32,409","23,606 ",+52,N/A,N/A,N/A
17,Italy,"16,954,784",,"164,976 ",,"15,771,125",,"1,018,683"
18,Turkey,"15,050,227",,"98,878 ",,"14,947,920",,"3,429"
19,Spain,"12,058,888",,"105,123 ",,"11,522,364",,"431,401"
20,Vietnam,"10,690,471",,"43,063 ",,"9,334,964",,"1,312,444"
21,Argentina,"9,101,319",,"128,729 ",,"8,895,999",,"76,591"
22,Japan,"8,260,356","+42,378","29,974 ",+39,"7,890,937","+26,178","339,445"
23,Netherlands,"8,065,852",,"22,292 ",,"7,979,514",,"64,046"
24,Iran,"7,227,043",,"141,201 ",,"7,014,783",,"71,059"
25,Australia,"6,501,329","+51,773","7,721 ",+51,"6,081,083",,"412,525"
26,Colombia,"6,095,316",,"139,821 ",,"5,928,829",,"26,666"
27,Indonesia,"6,049,876",,"156,438 ",,"5,888,571",,"4,867"
28,Poland,"6,002,394",,"116,175 ",,"5,335,046",,"551,173"
29,Mexico,"5,745,652",,"324,465 ",,"5,044,893",,"376,294"
30,Ukraine,"5,006,460",,"108,449 ",,N/A,N/A,N/A
31,Malaysia,"4,470,471",,"35,602 ",,"4,408,043",,"26,826"
32,Thailand,"4,361,016","+7,779","29,370 ",+56,"4,255,785","+9,286","75,861"
33,Austria,"4,200,825",,"18,291 ",,"4,119,090",,"63,444"
34,Belgium,"4,102,082",,"31,580 ",,"3,926,179","+13,928","144,323"
35,Israel,"4,102,032",,"10,749 ",,"4,073,486",,"17,797"
36,Portugal,"3,935,932",,"22,420 ",,N/A,N/A,N/A
37,Czechia,"3,914,707",,"40,237 ",,"3,867,251",,"7,219"
38,South Africa,"3,871,085",,"100,630 ",,"3,696,731",,"73,724"
39,Canada,"3,816,490",,"40,161 ",,"3,495,236",,"281,093"
40,Philippines,"3,687,567",,"60,452 ",,"3,623,938",,"3,177"
41,Switzerland,"3,631,881",,"13,882 ",,"3,540,271","+7,221","77,728"
42,Chile,"3,591,097",,"57,680 ",,"3,458,198",,"75,219"
43,Peru,"3,571,161",,"213,000 ",,N/A,N/A,N/A
44,Greece,"3,380,594",,"29,491 ",,"3,294,451",,"56,652"
45,Denmark,"2,975,108",,"6,271 ",,"2,958,066",,"10,771"
46,Romania,"2,901,682",,"65,595 ",,N/A,N/A,N/A
47,Sweden,"2,504,894",,"18,864 ",,"2,476,511",,"9,519"
48,Iraq,"2,326,162",,"25,216 ",,"2,299,668",,"1,278"
49,Serbia,"2,011,825",,"16,042 ",,"1,985,614",,"10,169"
50,Bangladesh,"1,952,939",,"29,127 ",,"1,898,603",,"25,209"
51,Hungary,"1,909,948",,"46,343 ",,"1,821,435",,"42,170"
52,Slovakia,"1,786,328",,"20,011 ",,"1,759,085",,"7,232"
53,Jordan,"1,694,216",,"14,048 ",,"1,678,941",,"1,227"
54,Georgia,"1,655,221",,"16,811 ",,"1,637,293",,"1,117"
55,Ireland,"1,532,771",,"7,176 ",,"1,493,729",,"31,866"
56,Pakistan,"1,529,080",+93,"30,376 ",,"1,494,141",,"4,563"
57,Norway,"1,429,353",,"3,061 ",,N/A,N/A,N/A
58,Kazakhstan,"1,305,631",+11,"13,661 ",,"1,291,411",+23,559
59,Singapore,"1,232,559",,"1,361 ",,"1,155,970",,"75,228"
60,Hong Kong,"1,207,665",,"9,356 ",,N/A,N/A,N/A
61,Morocco,"1,165,552",,"16,071 ",,"1,148,964",,517
62,Bulgaria,"1,161,038",,"37,035 ",,"1,006,669",,"117,334"
63,Croatia,"1,129,836",,"15,912 ",,"1,109,143",,"4,781"
64,Cuba,"1,104,316",,"8,529 ",,"1,095,271",,516
65,Lebanon,"1,097,800",,"10,404 ",,"1,084,400",,"2,996"
66,Finland,"1,069,740",,"4,284 ",,N/A,N/A,N/A
67,Lithuania,"1,060,277",,"9,127 ",,"1,031,608",,"19,542"
68,Tunisia,"1,041,197",,"28,575 ",,N/A,N/A,N/A
69,New Zealand,"1,030,733","+7,528",892 ,+29,"976,483","+7,404","53,358"
70,Slovenia,"1,018,298",,"6,617 ",,"1,001,298",,"10,383"
71,Belarus,"982,867",,"6,978 ",,N/A,N/A,N/A
72,Nepal,"978,982",,"11,952 ",,"966,857",,173
73,Bolivia,"905,994",+174,"21,926 ",,"863,219",+206,"20,849"
74,Uruguay,"902,540",,"7,213 ",,"892,434",,"2,893"
75,UAE,"901,440",,"2,302 ",,"885,287",,"13,851"
76,Ecuador,"871,046",,"35,602 ",,N/A,N/A,N/A
77,Costa Rica,"866,164",,"8,444 ",,"841,683",,"16,037"
78,Guatemala,"851,215",,"17,772 ",,"831,162",,"2,281"
79,Latvia,"825,470",,"5,796 ",,"815,843",,"3,831"
80,Panama,"799,975",,"8,199  ",,"770,363",,"21,413"
81,Azerbaijan,"792,638",,"9,709 ",,"782,869",,60
82,Saudi Arabia,"757,802",,"9,110 ",,"743,099",,"5,593"
83,Sri Lanka,"663,632",,"16,510 ",,"646,154",,968
84,Paraguay,"649,718",,"18,872 ",,"624,673",,"6,173"
85,Taiwan,"635,870","+65,011","1,009 ",+41,"46,143",,"588,718"
86,Kuwait,"632,074",,"2,555 ",,"629,114",,405
87,Myanmar,"613,088",,"19,434 ",,"592,012",,"1,642"
88,Palestine,"582,119",,"5,353 ",,"576,684",,82
89,Dominican Republic,"580,201",,"4,376 ",,"575,302",,523
90,Bahrain,"575,762",,"1,479 ",,"568,696",,"5,587"
91,Estonia,"573,922",,"2,556 ",,"514,836",,"56,530"
92,Venezuela,"522,890",,"5,710 ",,"516,098",,"1,082"
93,Moldova,"516,986",,"11,489 ",,"504,142",,"1,355"
94,Egypt,"515,645",,"24,613 ",,"442,182",,"48,850"
95,Libya,"501,904",,"6,430 ",,"490,973",,"4,501"
96,Cyprus,"477,711",,"1,032 ",,"124,370",,"352,309"
97,Ethiopia,"470,851",,"7,510 ",,"455,752",,"7,589"
98,Mongolia,"469,885",,"2,179 ",,"313,256",,"154,450"
99,Honduras,"424,390",,"10,896 ",,"132,358",,"281,136"
100,Armenia,"422,896",,"8,623 ",,"412,048",,"2,225"
101,Réunion,"405,980",,762 ,,"395,430",,"9,788"
102,Oman,"389,370",,"4,259 ",,"384,543",,568
103,Bosnia and Herzegovina,"377,475",,"15,775 ",,N/A,N/A,N/A
104,Qatar,"365,815",,677 ,,"364,125",,"1,013"
105,Kenya,"323,952",,"5,649 ",,"318,116",,187
106,Zambia,"320,412",,"3,983 ",,"315,819",,610
107,North Macedonia,"310,595",,"9,287 ",,"300,675",,633
108,Botswana,"306,324",,"2,690 ",,"303,026",,608
109,Albania,"275,485",,"3,497 ",,"271,781",,207
110,Algeria,"265,808",,"6,875 ",,"178,371",,"80,562"
111,Nigeria,"255,836",,"3,143 ",,"249,936",,"2,757"
112,Zimbabwe,"248,943",,"5,481 ",,"242,304",,"1,158"
113,Luxembourg,"243,569",,"1,073 ",,"235,372",,"7,124"
114,Uzbekistan,"238,778",+11,"1,637 ",,"236,913",+27,228
115,Montenegro,"236,076",,"2,718 ",,"232,710",,648
116,Mozambique,"225,470",,"2,201 ",,"223,188",,81
117,Laos,"209,243",,752 ,,N/A,N/A,N/A
