,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases
124,Cameroon,"119,780",,"1,927 ",,"117,791",,62
125,Angola,"99,194",,"1,900 ",,"97,149",,145
126,Malta,"93,249",,713 ,,"89,625",,"2,911"
127,DRC,"87,023",,"1,337 ",,"50,930",,"34,756"
128,Senegal,"86,029",,"1,966 ",,"84,046",,17
129,Malawi,"85,855",,"2,635 ",,"82,462",,758
130,Ivory Coast,"81,985",,799 ,,"81,167",,19
131,French Guiana,"81,784",,397 ,,"11,254",,"70,133"
132,Suriname,"80,008",,"1,337 ",,"49,455",,"29,216"
133,Barbados,"75,438",,432 ,,"71,201",,"3,805"
134,Channel Islands,"75,275",,173 ,,"74,574",,528
135,French Polynesia,"72,786",,648 ,,N/A,N/A,N/A
136,Eswatini,"71,583",,"1,402 ",,"69,394",,787
137,Fiji,"64,725",,862 ,,"62,853",,"1,010"
138,Madagascar,"64,236",,"1,393 ",,"59,370",,"3,473"
139,Guyana,"63,736",,"1,228 ",,"62,260",,248
140,Sudan,"62,161",,"4,936 ",,N/A,N/A,N/A
141,New Caledonia,"60,749",,312 ,,"60,231",,206
142,Bhutan,"59,552",,21 ,,"59,397",,134
143,Mauritania,"58,805",,982 ,,"57,706",,117
144,Belize,"57,836",,676 ,,"56,750",,410
145,Cabo Verde,"56,099",,401 ,,"55,604",,94
146,Syria,"55,867",,"3,150 ",,"52,395",,322
147,Gabon,"47,608",,304 ,,"47,297",,7
148,Papua New Guinea,"43,876",,651 ,,"43,200",,25
149,Seychelles,"43,235",,167 ,,"42,553",,515
150,Curaçao,"42,567",,275 ,,"41,905",,387
151,Andorra,"42,156",,153 ,,"41,021",,982
152,Burundi,"41,216",,38 ,,N/A,N/A,N/A
153,Mauritius,"37,837",,996 ,,"36,159",,682
154,Mayotte,"37,363",,187 ,,"2,964",,"34,212"
155,Togo,"37,013",,273 ,,"36,719",,21
156,Guinea,"36,459",,440 ,,"35,976",,43
157,Tanzania,"35,354",,840 ,,N/A,N/A,N/A
158,Aruba,"35,189",,212 ,,"34,774",,203
159,Faeroe Islands,"34,658",,28 ,,"7,693",,"26,937"
160,Bahamas,"33,830",,800 ,,"32,458",,572
161,Lesotho,"32,910",,697 ,,"24,155",,"8,058"
162,Mali,"30,978",,733 ,,"30,049",,196
163,Haiti,"30,713",,835 ,,"29,605",,273
164,Isle of Man,"28,416",,87 ,,"26,794",,"1,535"
165,Benin,"26,952",,163 ,,"25,506",,"1,283"
166,Somalia,"26,518",,"1,350 ",,"13,182",,"11,986"
167,Congo,"24,079",,385 ,,"20,178",,"3,516"
168,Saint Lucia,"23,978",,368 ,,"23,144",,466
169,Cayman Islands,"23,578",,28 ,,"8,553",,"14,997"
170,Timor-Leste,"22,886",,130 ,,"22,730",,26
171,Burkina Faso,"20,853",,382 ,,"20,439",,32
172,Nicaragua,"18,491",,225 ,,"4,225",,"14,041"
173,Solomon Islands,"18,174",,146 ,,"16,357",,"1,671"
174,Gibraltar,"18,129",,102 ,,"16,579",,"1,448"
175,South Sudan,"17,525",,138 ,,"13,514",,"3,873"
176,Tajikistan,"17,388",,124 ,,"17,264",,0
177,Liechtenstein,"17,306",,84 ,,"17,154",,68
178,San Marino,"16,823",,115 ,,"16,424",,284
179,Grenada,"16,191",,221 ,,"14,626",,"1,344"
180,Equatorial Guinea,"15,910",,183 ,,"15,701",,26
181,Djibouti,"15,631",,189 ,,"15,427",,15
182,CAR,"14,649",,113 ,,"6,859",,"7,677"
183,Bermuda,"14,135",,135 ,,"13,664",,336
184,Dominica,"12,685",,63 ,,"12,323",,299
185,Monaco,"12,000",,54 ,,"11,842",,104
186,Gambia,"11,996",,365 ,,"11,591",,40
187,Greenland,"11,971",,21 ,,"2,761",,"9,189"
188,Yemen,"11,819",,"2,149 ",,"9,009",,661
189,Tonga,"11,049",,11 ,,"10,110",,928
190,Samoa,"11,045",,23 ,,"1,605",,"9,417"
191,Saint Martin,"10,602",,63 ,,"1,399",,"9,140"
192,Sint Maarten,"10,123",,86 ,,"9,985",,52
193,Caribbean Netherlands,"9,903",,35 ,,"9,819",,49
194,Eritrea,"9,740",,103 ,,"9,632",,5
195,Niger,"9,010",,310 ,,"8,577",,123
196,Guinea-Bissau,"8,215",,171 ,,"8,005",,39
197,Vanuatu,"8,194",,14 ,,"7,725",,455
198,Comoros,"8,100",,160 ,,"7,933",,7
199,Antigua and Barbuda,"7,721",,137 ,,"7,511",,73
200,Sierra Leone,"7,682",,125 ,,N/A,N/A,N/A
201,Liberia,"7,451",,294 ,,"5,747",,"1,410"
202,Chad,"7,414",,193 ,,"4,874",,"2,347"
203,St. Vincent Grenadines,"6,794",,106 ,,"6,641",,47
204,British Virgin Islands,"6,573",,62 ,,N/A,N/A,N/A
205,Turks and Caicos,"6,046",,36 ,,"5,963",,47
206,Sao Tome and Principe,"5,970",,73 ,,"5,891",,6
207,Saint Kitts and Nevis,"5,600",,43 ,,"5,540",,17
208,Cook Islands,"5,390",,1 ,,"5,274",,115
209,Palau,"4,782",,6 ,,"4,087",,689
210,St. Barth,"4,611",,6 ,,N/A,N/A,N/A
211,Kiribati,"3,093",,13 ,,"2,602",,478
212,Anguilla,"2,984",,9 ,,"2,916",,59
213,Saint Pierre Miquelon,"2,739",,1 ,,"2,449",,289
214,Falkland Islands,"1,126",, ,,N/A,N/A,N/A
215,Montserrat,747,,2 ,,390,,355
216,Diamond Princess,712,,13 ,,699,,0
217,Wallis and Futuna,454,,7 ,,438,,9
218,Macao,82,, ,,82,,0
219,Vatican City,29,, ,,29,,0
220,Marshall Islands,17,, ,,14,,3
221,Western Sahara,10,,1 ,,9,,0
222,MS Zaandam,9,,2 ,,7,,0
223,Niue,9,, ,,8,,1
224,Micronesia,7,, ,,1,,6
225,Nauru,7,, ,,4,,3
226,Saint Helena,2,, ,,2,,0
227,China,"221,289",+331,"5,205 ",+2,"209,140",+614,"6,944"
228,"99,466,474",,"1,466,594",,"94,733,439",,"3,266,441","7,421"
229,"149,679,779","+148,023","1,427,484",+190,"126,982,504","+36,131","21,269,791","11,875"
230,"57,076,865",+174,"1,296,215",,"53,170,992",,"2,609,658","10,690"
231,"193,781,175",+521,"1,828,909",,"181,204,954",,"10,747,312","8,082"
232,"7,836,419","+59,301","11,307",+80,"7,305,575","+7,404","519,537",156
233,"12,024,127",,"254,192",,"11,197,387",,"572,548",965
234,721,,15,,706,,0,0
235,"519,865,560","+208,019","6,284,716",+270,"474,595,557","+135,579","38,985,287","39,189"
